시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
충청남도,보령시,178.0,367.0,95.5,97.8,1.7,0.6,2.2,94.8,97.8,1.6,0.5,3.0,2.9000000000000057,0.8999999999999915,-0.8,0.0,-2.0999999999999996
부산광역시,동구,177.0,390.0,98.3,100.0,0.0,0.0,1.7,97.9,99.5,0.5,0.0,1.5,2.700000000000003,1.5,-0.7,-0.7,-1.3
강원도,삼척시,175.0,339.0,76.6,99.4,0.6,0.0,22.9,77.6,99.7,0.3,0.0,22.1,8.399999999999991,0.30000000000001137,0.6,-0.9,-7.900000000000002
충청남도,예산군,173.0,316.0,91.9,96.5,2.3,1.2,4.6,91.5,96.5,2.8,0.6,5.1,-4.099999999999994,-0.29999999999999716,0.6999999999999997,-0.40000000000000013,3.8
인천광역시,동구,172.0,318.0,98.8,100.0,0.0,0.0,1.2,98.7,100.0,0.0,0.0,1.3,1.5,1.7999999999999972,-1.8,0.0,0.29999999999999993
경기도,양평군,164.0,300.0,90.9,97.6,2.4,0.0,6.7,91.3,98.3,1.3,0.3,7.0,-2.6999999999999886,2.6999999999999886,1.0999999999999999,-3.8,5.4
경기도,부천시 오정구,163.0,364.0,79.8,87.7,2.5,9.8,8.0,74.7,84.1,3.0,12.9,9.3,-3.5,-8.799999999999997,-1.0,9.8,-5.199999999999999
경상북도,예천군,147.0,272.0,99.3,99.3,0.0,0.7,0.0,99.6,99.6,0.0,0.4,0.0,-0.7000000000000028,-0.7000000000000028,0.0,0.7,0.0
경상남도,거창군,134.0,214.0,94.0,99.3,0.7,0.0,5.2,93.9,99.5,0.5,0.0,5.6,3.799999999999997,0.09999999999999432,-0.10000000000000009,0.0,-3.8
서울특별시,종로구,132.0,335.0,96.2,99.2,0.8,0.0,3.0,96.4,99.4,0.3,0.3,3.0,-1.7999999999999972,-0.7999999999999972,0.8,0.0,1.0
전라남도,영암군,130.0,238.0,86.9,97.7,1.5,0.8,10.8,88.2,97.5,2.1,0.4,9.2,-2.0999999999999943,4.299999999999997,-5.1,0.8,6.4
경상남도,함안군,124.0,204.0,94.4,96.0,4.0,0.0,1.6,93.1,94.6,5.4,0.0,1.5,3.1000000000000085,1.7999999999999972,1.1,-2.9,-1.2999999999999998
전라북도,김제시,113.0,198.0,92.9,96.5,1.8,1.8,3.5,93.4,97.0,1.5,1.5,3.5,-3.5,-0.7999999999999972,-0.9000000000000001,1.8,2.6
경상북도,상주시,112.0,221.0,93.8,96.4,2.7,0.9,2.7,95.5,97.7,1.8,0.5,2.3,-3.5,-3.5999999999999943,2.7,0.9,0.0
강원도,태백시,110.0,206.0,97.3,98.2,1.8,0.0,0.9,97.1,98.5,1.5,0.0,1.5,-1.7000000000000028,-0.7999999999999972,0.8,0.0,0.9
강원도,홍천군,110.0,209.0,100.0,100.0,0.0,0.0,0.0,97.6,99.5,0.0,0.5,1.9,6.400000000000006,3.799999999999997,-3.8,0.0,-2.6
전라남도,화순군,106.0,192.0,97.2,97.2,1.9,0.9,0.0,96.4,97.4,1.6,1.0,1.0,-0.29999999999999716,-2.799999999999997,1.9,0.9,-2.5
충청북도,증평군,106.0,207.0,92.5,96.2,1.9,1.9,3.8,89.9,95.2,3.4,1.4,5.3,8.700000000000003,3.799999999999997,-5.699999999999999,1.9,-4.8
전라북도,남원시,104.0,212.0,88.5,98.1,1.9,0.0,9.6,93.4,98.6,1.4,0.0,5.2,67.3,0.0,0.7999999999999998,-0.9,-67.30000000000001
강원도,평창군,99.0,219.0,83.8,94.9,3.0,2.0,11.1,78.1,95.0,4.1,0.9,16.9,-1.5,-0.6999999999999886,-1.4000000000000004,2.0,0.7999999999999989
경기도,가평군,95.0,170.0,94.7,100.0,0.0,0.0,5.3,94.7,100.0,0.0,0.0,5.3,-1.5,3.799999999999997,-3.8,0.0,5.3
전라남도,고흥군,91.0,143.0,40.7,93.4,6.6,0.0,52.7,55.2,95.8,4.2,0.0,40.6,-49.599999999999994,-3.3999999999999915,6.6,-3.2,46.2
전라남도,영광군,86.0,161.0,75.6,95.3,0.0,4.7,19.8,68.9,87.0,0.0,13.0,18.0,-15.0,-2.799999999999997,0.0,2.8000000000000003,12.3
충청남도,태안군,74.0,144.0,85.1,93.2,4.1,2.7,8.1,83.3,95.8,2.8,1.4,12.5,7.699999999999989,-0.29999999999999716,2.4999999999999996,-2.0999999999999996,-8.000000000000002
경상남도,창녕군,73.0,127.0,83.6,91.8,6.8,1.4,8.2,87.4,94.5,4.7,0.8,7.1,2.8999999999999915,-2.9000000000000057,1.5,1.4,-5.800000000000001
경상북도,문경시,73.0,151.0,93.2,97.3,2.7,0.0,4.1,92.1,96.7,3.3,0.0,4.6,12.100000000000009,-1.2999999999999972,1.3000000000000003,0.0,-13.500000000000002
강원도,양양군,64.0,110.0,96.9,100.0,0.0,0.0,3.1,95.5,99.1,0.9,0.0,3.6,7.1000000000000085,3.4000000000000057,-3.4,0.0,-3.6999999999999997
강원도,횡성군,63.0,124.0,76.2,93.7,6.3,0.0,17.5,81.5,93.5,5.6,0.8,12.1,-1.7000000000000028,-6.299999999999997,6.3,0.0,-4.600000000000001
강원도,정선군,61.0,112.0,90.2,98.4,1.6,0.0,8.2,89.3,99.1,0.9,0.0,9.8,16.5,1.9000000000000057,-1.9,0.0,-14.600000000000001
충청남도,금산군,59.0,116.0,93.2,96.6,1.7,1.7,3.4,94.8,98.3,0.9,0.9,3.4,5.5,7.099999999999994,-7.1000000000000005,-0.10000000000000009,1.5999999999999999
