시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
경기도,수원시 장안구,441.0,1067.0,48.5,40.4,10.7,0.5,50.6,39.3,9.2,0.9,-6.399999999999999,6.600000000000001,1.5999999999999996,-1.7000000000000002
인천광역시,중구,440.0,788.0,32.5,55.7,10.5,1.4,33.2,54.9,10.7,1.1,-7.200000000000003,7.300000000000004,0.1999999999999993,-0.20000000000000018
서울특별시,동작구,439.0,1532.0,32.8,47.6,16.6,3.0,29.1,51.4,17.2,2.3,-6.600000000000001,0.10000000000000142,4.900000000000002,1.7
서울특별시,마포구,430.0,1575.0,40.9,41.4,15.6,2.1,43.0,42.0,12.8,2.3,-5.100000000000001,2.5,4.799999999999999,-2.3000000000000003
경상북도,안동시,423.0,730.0,47.8,48.7,1.9,1.7,50.4,46.2,2.2,1.2,1.5999999999999943,-1.0999999999999943,-1.4,1.1
경상북도,김천시,420.0,840.0,42.1,52.4,5.5,0.0,41.9,52.1,5.7,0.2,1.0,0.0,-0.7000000000000002,-0.3
경기도,성남시 수정구,397.0,1082.0,17.4,52.4,27.7,2.5,23.1,48.2,27.3,1.4,-8.900000000000002,3.5,5.699999999999999,-0.20000000000000018
서울특별시,도봉구,394.0,931.0,45.4,47.7,6.9,0.0,48.2,44.5,7.0,0.3,-5.700000000000003,4.700000000000003,2.9000000000000004,-1.8
전라남도,나주시,392.0,854.0,28.1,67.6,4.3,0.0,28.7,67.1,4.2,0.0,-3.299999999999997,1.2999999999999972,1.9,0.0
대구광역시,서구,383.0,684.0,30.5,60.3,7.8,1.3,29.4,63.0,6.6,1.0,-26.0,24.5,0.5,0.9
충청북도,진천군,380.0,658.0,39.5,59.2,1.3,0.0,42.4,56.2,1.4,0.0,-14.299999999999997,16.1,-1.8,0.0
전라북도,완주군,369.0,755.0,43.1,56.6,0.3,0.0,45.4,54.4,0.1,0.0,-4.299999999999997,4.200000000000003,0.0,0.0
경기도,이천시,363.0,725.0,45.7,49.6,4.4,0.3,48.3,48.1,3.0,0.6,-1.0999999999999943,1.6000000000000014,-0.5999999999999996,0.0
광주광역시,동구,343.0,677.0,25.4,65.3,7.3,2.0,28.4,61.2,8.3,2.2,6.199999999999999,-1.9000000000000057,-4.000000000000001,-0.2999999999999998
경기도,의왕시,330.0,883.0,26.7,61.5,11.2,0.6,28.1,61.3,9.4,1.2,-12.099999999999998,9.299999999999997,3.0,-0.30000000000000004
서울특별시,용산구,327.0,736.0,33.6,37.3,19.0,10.1,41.8,29.3,19.6,9.2,-0.6000000000000014,13.099999999999998,-7.5,-5.0
충청남도,홍성군,326.0,540.0,26.1,73.0,0.9,0.0,25.9,72.0,2.0,0.0,-5.5,9.799999999999997,-3.6999999999999997,-0.6
경기도,성남시 중원구,323.0,891.0,51.1,42.7,6.2,0.0,50.1,43.8,6.2,0.0,-5.0,5.700000000000003,-0.7999999999999998,0.0
전라남도,무안군,321.0,584.0,17.4,70.7,11.5,0.3,15.9,71.9,11.8,0.3,-1.7000000000000028,3.200000000000003,-1.4000000000000004,-0.2
강원도,동해시,299.0,576.0,46.5,51.2,2.3,0.0,49.0,48.6,2.4,0.0,3.3999999999999986,-3.799999999999997,0.7999999999999998,-0.4
강원도,속초시,297.0,579.0,51.9,43.4,3.0,1.7,51.5,43.9,3.3,1.4,-1.7000000000000028,0.19999999999999574,-0.20000000000000018,1.7
충청남도,공주시,290.0,606.0,60.3,36.9,1.7,1.0,60.7,36.3,2.0,1.0,6.099999999999994,-2.3000000000000043,-4.3,0.4
충청남도,논산시,283.0,471.0,75.3,23.3,1.1,0.4,67.7,29.3,2.5,0.4,19.4,-15.2,-3.9,-0.19999999999999996
경상북도,영주시,281.0,479.0,43.8,53.7,2.5,0.0,49.5,47.8,2.5,0.2,1.6999999999999957,-1.8999999999999986,0.5,-0.3
전라북도,정읍시,280.0,476.0,65.0,33.2,1.4,0.4,64.1,33.4,2.1,0.4,-0.7999999999999972,3.0000000000000036,-2.6,0.4
경상남도,통영시,270.0,488.0,41.9,53.3,4.1,0.7,39.1,55.3,4.7,0.8,1.5,-0.20000000000000284,-1.5,0.19999999999999996
