시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
경상남도,고성군,54.0,113.0,3.7,5.6,42.6,46.3,48.1,3.5,9.7,39.8,46.0,49.6,-3.3,-3.700000000000001,-3.8999999999999986,11.399999999999999,-7.699999999999996
충청북도,옥천군,52.0,121.0,1.9,15.4,46.2,34.6,61.5,1.7,18.2,42.1,36.4,60.3,-2.4,-1.700000000000001,3.3000000000000043,3.200000000000003,1.5
강원도,영월군,51.0,96.0,7.8,15.7,47.1,27.5,62.7,6.3,15.6,46.9,30.2,62.5,1.8999999999999995,-1.9000000000000021,-5.799999999999997,5.899999999999999,-7.8999999999999915
충청북도,영동군,51.0,82.0,5.9,13.7,37.3,37.3,51.0,6.1,13.4,42.7,34.1,56.1,3.5000000000000004,-3.400000000000002,-16.400000000000006,12.899999999999999,-19.700000000000003
경상북도,울진군,47.0,106.0,4.3,12.8,38.3,27.7,51.1,3.8,16.0,41.5,31.1,57.5,0.3999999999999999,-11.899999999999999,-14.900000000000006,9.5,-26.800000000000004
강원도,고성군,44.0,83.0,0.0,18.2,38.6,40.9,56.8,4.8,13.3,49.4,31.3,62.7,-2.5,-11.8,-1.3999999999999986,13.399999999999999,-13.200000000000003
경기도,연천군,42.0,76.0,2.4,16.7,38.1,42.9,54.8,3.9,13.2,35.5,47.4,48.7,0.2999999999999998,6.299999999999999,-3.6000000000000014,-2.8999999999999986,2.6999999999999957
충청북도,보은군,41.0,67.0,2.4,24.4,51.2,19.5,75.6,3.0,22.4,47.8,23.9,70.1,2.4,11.099999999999998,30.700000000000003,14.7,41.89999999999999
인천광역시,강화군,40.0,95.0,2.5,22.5,30.0,42.5,52.5,5.3,22.1,29.5,42.1,51.6,-3.4000000000000004,8.8,-15.100000000000001,9.200000000000003,-6.299999999999997
전라북도,고창군,39.0,71.0,2.6,12.8,53.8,28.2,66.7,2.8,14.1,52.1,28.2,66.2,-4.800000000000001,5.4,9.399999999999999,-8.8,14.800000000000004
전라북도,부안군,39.0,84.0,10.3,10.3,33.3,43.6,43.6,6.0,8.3,39.3,45.2,47.6,8.0,-5.6,-19.0,16.3,-24.6
전라남도,장성군,38.0,92.0,7.9,7.9,44.7,39.5,52.6,4.3,12.0,50.0,32.6,62.0,-7.5,-7.5,-9.099999999999994,24.1,-16.6
전라남도,장흥군,38.0,74.0,5.3,13.2,63.2,13.2,76.3,4.1,9.5,56.8,24.3,66.2,5.3,0.6999999999999993,13.200000000000003,-24.3,13.799999999999997
충청북도,단양군,38.0,75.0,7.9,13.2,44.7,31.6,57.9,4.0,21.3,37.3,33.3,58.7,4.9,-5.0,14.400000000000002,-7.799999999999997,9.399999999999999
충청남도,부여군,36.0,87.0,2.8,22.2,44.4,30.6,66.7,3.4,21.8,41.4,32.2,63.2,2.8,4.599999999999998,-2.700000000000003,-1.7999999999999972,2.0
경기도,과천시,35.0,205.0,2.9,22.9,42.9,31.4,65.7,0.5,27.3,57.6,14.6,84.9,2.0,-5.200000000000003,-14.100000000000001,17.4,-19.39999999999999
경상북도,고령군,35.0,52.0,2.9,14.3,40.0,42.9,54.3,1.9,11.5,46.2,40.4,57.7,2.9,0.5,-11.700000000000003,8.399999999999999,-11.200000000000003
전라남도,보성군,30.0,43.0,3.3,13.3,56.7,20.0,70.0,4.7,16.3,48.8,25.6,65.1,-5.8,8.8,6.700000000000003,-16.4,15.5
